story, subject, numberOfRegressions, totalRegressionDuration,averageRegressionDuration, numberOfRegressionsPerLine, totalRegressionDurationPerLine,totalFixationDurationPerLine,target
1,1,20,6969,348.45,0.625,217.78125,3588.46875,0
1,2,49,17356,354.2040816,1.53125,542.375,4729.9375,0
1,3,28,13549,483.8928571,0.875,423.40625,142.46875,0
1,4,35,13998,399.9428571,1.09375,437.4375,6352.25,0
1,5,30,13829,460.9666667,0.9375,432.15625,4473.90625,0
1,6,41,16179,394.6097561,1.28125,505.59375,5603.3125,0

3,1,11,5712,519.2727273,0.47826087,248.3478261,3518.434783,1
3,2,44,19769,449.2954545,1.913043478,859.5217391,6436.086957,1
3,3,27,12948,479.5555556,1.173913043,562.9565217,5042.608696,1
3,4,33,11473,347.6666667,1.434782609,498.826087,8699.521739,1
3,6,35,19189,548.2571429,1.52173913,834.3043478,7221.695652,1

6,1,54,13543.0,250.7962962962963,1.2857142857142858,322.45238095238096
6,2,108,41607.0,385.25,2.5714285714285716,990.6428571428571
6,3,45,17000.0,377.77777777777777,1.0714285714285714,404.76190476190476
6,4,54,23412.0,433.55555555555554,1.2857142857142858,557.4285714285714
6,5,42,13613.0,324.1190476190476,1.0,324.1190476190476
6,6,64,24881.0,388.765625,1.5238095238095237,592.4047619047619

4,1,66,17897.0,271.1666666666667,1.1379310344827587,308.5689655172414

totalRegressionDurationPerLine decreases
